ID,Age,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,Money_spent,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Total_accepted,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
0,40,1985,Graduation,Married,"₹ 70,951.00",0,0,04-05-2013,66,"1,198.00",239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,0,3,11,0
1,64,1961,Graduation,Single,"₹ 57,091.00",0,0,15-06-2014,0,577,464,5,64,7,0,37,1,7,3,7,5,1,0,0,0,0,1,0,3,11,1
9,50,1975,Master,Single,"₹ 46,098.00",1,1,18-08-2012,86,120,57,0,27,0,0,36,4,3,2,2,8,0,0,0,0,0,0,0,3,11,0
13,78,1947,PhD,Widow,"₹ 25,358.00",0,1,22-07-2013,57,32,19,0,5,0,0,8,2,1,0,3,6,0,0,0,0,0,0,0,3,11,0
17,54,1971,PhD,Married,"₹ 60,491.00",0,1,06-09-2013,81,"1,028.00",637,47,237,12,19,76,4,6,11,7,5,0,0,0,0,0,0,0,3,11,0
20,60,1965,2n Cycle,Married,"₹ 46,891.00",0,1,01-09-2013,91,183,43,12,23,29,15,61,1,2,1,4,4,0,0,0,0,0,0,0,3,11,0
22,49,1976,Graduation,Divorced,"₹ 46,310.00",1,0,03-12-2012,99,309,185,2,88,15,5,14,2,6,1,5,8,0,0,0,0,0,0,0,3,11,0
24,65,1960,Master,Together,"₹ 17,144.00",1,1,15-02-2014,96,47,18,2,19,0,2,6,5,3,0,4,7,0,0,0,0,0,0,0,3,11,0
25,67,1958,Graduation,Married,"₹ 65,148.00",0,1,16-11-2012,9,"1,115.00",460,35,422,33,12,153,2,6,6,7,4,0,0,0,0,0,0,0,3,11,0
35,38,1987,Graduation,Married,"₹ 25,545.00",1,0,08-09-2012,35,210,32,1,64,16,12,85,3,2,2,3,6,0,0,0,0,0,0,0,3,11,1
48,61,1964,Graduation,Together,"₹ 55,761.00",0,1,24-04-2014,97,184,136,1,12,0,3,32,2,4,1,3,6,1,0,1,0,0,0,0,3,11,0
49,55,1970,Graduation,Single,"₹ 20,587.00",1,0,11-05-2014,39,25,2,3,6,4,1,9,1,1,1,2,7,0,0,0,0,0,0,0,3,11,0
55,62,1963,Graduation,Together,"₹ 56,253.00",0,1,07-12-2012,83,597,509,0,65,7,11,5,4,7,2,9,6,0,0,0,0,0,0,0,3,11,0
67,53,1972,Master,Single,"₹ 46,423.00",1,1,18-09-2013,6,92,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,3,11,0
73,72,1953,PhD,Single,"₹ 51,411.00",1,2,26-05-2013,81,18,14,0,3,0,0,1,1,0,0,3,5,0,0,0,0,0,0,0,3,11,0
75,43,1982,2n Cycle,Together,"₹ 41,039.00",0,0,25-07-2013,32,467,34,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,0,3,11,0
78,56,1969,Graduation,Married,"₹ 25,293.00",1,0,15-09-2013,51,37,15,0,11,0,2,9,1,1,1,2,8,0,0,0,0,0,0,0,3,11,0
87,44,1981,2n Cycle,Married,"₹ 27,733.00",1,0,26-08-2013,16,57,0,7,5,26,2,17,2,2,0,3,7,0,0,0,0,0,0,0,3,11,0
89,50,1975,2n Cycle,Married,"₹ 22,212.00",1,0,09-12-2013,49,69,5,9,20,6,8,21,2,2,0,4,6,0,0,0,0,0,0,0,3,11,0
92,37,1988,Graduation,Alone,"₹ 34,176.00",1,0,12-05-2014,12,89,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,3,11,0
113,74,1951,Graduation,Married,"₹ 30,833.00",1,1,16-07-2013,33,28,11,0,7,3,1,6,2,1,0,3,5,0,0,0,0,0,0,0,3,11,0
115,59,1966,Master,Single,"₹ 43,456.00",0,1,26-03-2013,0,393,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,3,11,0
123,74,1951,Graduation,Widow,"₹ 67,046.00",0,1,06-01-2013,92,993,544,35,133,23,151,107,2,4,5,4,2,0,0,0,0,0,0,0,3,11,0
125,67,1958,2n Cycle,Together,"₹ 53,083.00",1,1,15-05-2013,65,271,215,7,33,3,0,13,6,5,1,5,7,1,0,1,0,0,0,0,3,11,0
143,55,1970,Graduation,Single,"₹ 61,209.00",0,0,25-08-2013,73,957,466,0,224,119,49,99,1,5,3,4,2,0,0,0,0,0,0,0,3,11,0
146,65,1960,PhD,Single,"₹ 76,045.00",0,0,15-11-2013,78,"1,323.00",760,53,400,17,93,0,1,4,5,11,2,1,0,0,0,1,0,0,3,11,0
153,72,1953,Graduation,Divorced,"₹ 23,272.00",0,0,17-10-2013,29,46,19,3,6,4,2,12,1,1,0,3,4,0,0,0,0,0,0,0,3,11,0
158,80,1945,PhD,Together,"₹ 71,604.00",0,0,17-11-2013,3,"1,196.00",345,53,528,98,75,97,1,8,3,5,4,1,1,0,0,0,0,0,3,11,1
164,48,1977,PhD,Married,"₹ 28,973.00",0,0,13-10-2012,59,269,206,0,46,3,2,12,2,5,1,5,8,0,0,0,0,0,0,0,3,11,0
175,39,1986,Graduation,Married,"₹ 71,952.00",1,0,10-01-2013,93,"1,443.00",656,80,455,52,107,93,2,8,4,8,4,2,1,0,1,0,0,0,3,11,0
176,45,1980,2n Cycle,Single,"₹ 67,506.00",0,1,02-01-2014,73,331,90,38,67,33,36,67,1,4,1,6,3,0,0,0,0,0,0,0,3,11,0
178,69,1956,Graduation,Married,"₹ 62,503.00",0,1,18-02-2013,40,973,478,0,193,110,75,117,4,8,3,11,5,0,0,0,0,0,0,0,3,11,0
182,79,1946,PhD,Together,"₹ 44,124.00",0,1,11-05-2013,62,397,284,0,55,0,6,52,4,6,2,5,8,0,0,0,0,0,0,0,3,11,0
193,29,1996,Basic,Married,"₹ 14,421.00",0,0,17-02-2014,81,16,0,0,2,3,3,8,1,1,0,2,5,1,1,0,0,0,0,0,3,11,0
194,60,1965,Graduation,Married,"₹ 48,006.00",1,1,09-06-2014,55,41,23,0,11,3,2,2,1,1,0,3,6,0,0,0,0,0,0,0,3,11,0
